"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Newfoundland and Labrador","2016A000210","18 to 34 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792278","2.3.3.1.4","71.5","","","","1"
"2019","Newfoundland and Labrador","2016A000210","18 to 34 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792278","2.3.3.1.4","72.8","","","","1"
"2020","Newfoundland and Labrador","2016A000210","18 to 34 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792278","2.3.3.1.4","80.6","","","","1"
"2021","Newfoundland and Labrador","2016A000210","18 to 34 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792278","2.3.3.1.4","64.2","","","","1"
"2015","Newfoundland and Labrador","2016A000210","18 to 34 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792279","2.3.3.1.5","58.1","","","","1"
"2016","Newfoundland and Labrador","2016A000210","18 to 34 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792279","2.3.3.1.5","57.3","","","","1"
"2017","Newfoundland and Labrador","2016A000210","18 to 34 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792279","2.3.3.1.5","61.8","","","","1"
"2018","Newfoundland and Labrador","2016A000210","18 to 34 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792279","2.3.3.1.5","60.6","","","","1"
"2019","Newfoundland and Labrador","2016A000210","18 to 34 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792279","2.3.3.1.5","59.6","","","","1"
"2020","Newfoundland and Labrador","2016A000210","18 to 34 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792279","2.3.3.1.5","63.5","","","","1"
"2021","Newfoundland and Labrador","2016A000210","18 to 34 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792279","2.3.3.1.5","54.3","","","","1"
"2015","Newfoundland and Labrador","2016A000210","18 to 34 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792280","2.3.3.1.6","76.2","","","","1"
"2016","Newfoundland and Labrador","2016A000210","18 to 34 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792280","2.3.3.1.6","78.4","","","","1"
"2017","Newfoundland and Labrador","2016A000210","18 to 34 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792280","2.3.3.1.6","79.3","","","","1"
"2018","Newfoundland and Labrador","2016A000210","18 to 34 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792280","2.3.3.1.6","80.3","","","","1"
"2019","Newfoundland and Labrador","2016A000210","18 to 34 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792280","2.3.3.1.6","82.9","","","","1"
"2020","Newfoundland and Labrador","2016A000210","18 to 34 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792280","2.3.3.1.6","90.8","","","","1"
"2021","Newfoundland and Labrador","2016A000210","18 to 34 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792280","2.3.3.1.6","72.9","","","","1"
"2015","Newfoundland and Labrador","2016A000210","35 to 49 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792460","2.4.1.1.4","58.7","","","","1"
"2016","Newfoundland and Labrador","2016A000210","35 to 49 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792460","2.4.1.1.4","71.8","","","","1"
"2017","Newfoundland and Labrador","2016A000210","35 to 49 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792460","2.4.1.1.4","69.2","","","","1"
"2018","Newfoundland and Labrador","2016A000210","35 to 49 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792460","2.4.1.1.4","61.8","","","","1"
"2019","Newfoundland and Labrador","2016A000210","35 to 49 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792460","2.4.1.1.4","68.4","","","","1"
"2020","Newfoundland and Labrador","2016A000210","35 to 49 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792460","2.4.1.1.4","67.1","","","","1"
"2021","Newfoundland and Labrador","2016A000210","35 to 49 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792460","2.4.1.1.4","61.8","","","","1"
"2015","Newfoundland and Labrador","2016A000210","35 to 49 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792461","2.4.1.1.5","51.2","","","","1"
"2016","Newfoundland and Labrador","2016A000210","35 to 49 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792461","2.4.1.1.5","64.7","","","","1"
"2017","Newfoundland and Labrador","2016A000210","35 to 49 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792461","2.4.1.1.5","62.0","","","","1"
"2018","Newfoundland and Labrador","2016A000210","35 to 49 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792461","2.4.1.1.5","54.8","","","","1"
"2019","Newfoundland and Labrador","2016A000210","35 to 49 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792461","2.4.1.1.5","60.0","","","","1"
"2020","Newfoundland and Labrador","2016A000210","35 to 49 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792461","2.4.1.1.5","55.8","","","","1"
"2021","Newfoundland and Labrador","2016A000210","35 to 49 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792461","2.4.1.1.5","55.3","","","","1"
"2015","Newfoundland and Labrador","2016A000210","35 to 49 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792462","2.4.1.1.6","66.2","","","","1"
"2016","Newfoundland and Labrador","2016A000210","35 to 49 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792462","2.4.1.1.6","78.0","","","","1"
"2017","Newfoundland and Labrador","2016A000210","35 to 49 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792462","2.4.1.1.6","75.5","","","","1"
"2018","Newfoundland and Labrador","2016A000210","35 to 49 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792462","2.4.1.1.6","68.4","","","","1"
"2019","Newfoundland and Labrador","2016A000210","35 to 49 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792462","2.4.1.1.6","75.8","","","","1"
"2020","Newfoundland and Labrador","2016A000210","35 to 49 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792462","2.4.1.1.6","76.7","","","","1"
"2021","Newfoundland and Labrador","2016A000210","35 to 49 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792462","2.4.1.1.6","67.9","","","","1"
"2015","Newfoundland and Labrador","2016A000210","35 to 49 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792642","2.4.2.1.4","61.1","","","","1"
"2016","Newfoundland and Labrador","2016A000210","35 to 49 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792642","2.4.2.1.4","62.3","","","","1"
"2017","Newfoundland and Labrador","2016A000210","35 to 49 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792642","2.4.2.1.4","69.8","","","","1"
"2018","Newfoundland and Labrador","2016A000210","35 to 49 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792642","2.4.2.1.4","72.6","","","","1"
"2019","Newfoundland and Labrador","2016A000210","35 to 49 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792642","2.4.2.1.4","71.5","","","","1"
"2020","Newfoundland and Labrador","2016A000210","35 to 49 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792642","2.4.2.1.4","67.6","","","","1"
"2021","Newfoundland and Labrador","2016A000210","35 to 49 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792642","2.4.2.1.4","64.4","","","","1"
"2015","Newfoundland and Labrador","2016A000210","35 to 49 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792643","2.4.2.1.5","49.7","","","","1"
"2016","Newfoundland and Labrador","2016A000210","35 to 49 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792643","2.4.2.1.5","50.7","","","","1"
"2017","Newfoundland and Labrador","2016A000210","35 to 49 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792643","2.4.2.1.5","59.7","","","","1"
"2018","Newfoundland and Labrador","2016A000210","35 to 49 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792643","2.4.2.1.5","62.5","","","","1"
"2019","Newfoundland and Labrador","2016A000210","35 to 49 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792643","2.4.2.1.5","59.9","","","","1"
"2020","Newfoundland and Labrador","2016A000210","35 to 49 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792643","2.4.2.1.5","51.8","","","","1"
"2021","Newfoundland and Labrador","2016A000210","35 to 49 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792643","2.4.2.1.5","53.7","","","","1"
"2015","Newfoundland and Labrador","2016A000210","35 to 49 years","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792644","2.4.2.1.6","72.6","","","","1"
"2016","Newfoundland and Labrador","2016A000210","35 to 49 years","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792644","2.4.2.1.6","72.7","","","","1"
"2017","Newfoundland and Labrador","2016A000210","35 to 49 years","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792644","2.4.2.1.6","78.2","","","","1"
"2018","Newfoundland and Labrador","2016A000210","35 to 49 years","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792644","2.4.2.1.6","80.8","","","","1"
"2019","Newfoundland and Labrador","2016A000210","35 to 49 years","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792644","2.4.2.1.6","80.9","","","","1"
"2020","Newfoundland and Labrador","2016A000210","35 to 49 years","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792644","2.4.2.1.6","80.2","","","","1"
"2021","Newfoundland and Labrador","2016A000210","35 to 49 years","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792644","2.4.2.1.6","73.9","","","","1"
"2015","Newfoundland and Labrador","2016A000210","35 to 49 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792824","2.4.3.1.4","56.5","","","","1"
"2016","Newfoundland and Labrador","2016A000210","35 to 49 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792824","2.4.3.1.4","80.7","","","","1"
"2017","Newfoundland and Labrador","2016A000210","35 to 49 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792824","2.4.3.1.4","68.6","","","","1"
"2018","Newfoundland and Labrador","2016A000210","35 to 49 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792824","2.4.3.1.4","51.8","","","","1"
"2019","Newfoundland and Labrador","2016A000210","35 to 49 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792824","2.4.3.1.4","65.5","","","","1"
"2020","Newfoundland and Labrador","2016A000210","35 to 49 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792824","2.4.3.1.4","66.7","","","","1"
"2021","Newfoundland and Labrador","2016A000210","35 to 49 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110792824","2.4.3.1.4","59.4","","","","1"
"2015","Newfoundland and Labrador","2016A000210","35 to 49 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792825","2.4.3.1.5","46.0","","","","1"
"2016","Newfoundland and Labrador","2016A000210","35 to 49 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792825","2.4.3.1.5","71.7","","","","1"
"2017","Newfoundland and Labrador","2016A000210","35 to 49 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792825","2.4.3.1.5","58.5","","","","1"
"2018","Newfoundland and Labrador","2016A000210","35 to 49 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792825","2.4.3.1.5","41.1","","","","1"
"2019","Newfoundland and Labrador","2016A000210","35 to 49 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792825","2.4.3.1.5","53.2","","","","1"
"2020","Newfoundland and Labrador","2016A000210","35 to 49 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792825","2.4.3.1.5","52.5","","","","1"
"2021","Newfoundland and Labrador","2016A000210","35 to 49 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110792825","2.4.3.1.5","51.5","","","","1"
"2015","Newfoundland and Labrador","2016A000210","35 to 49 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792826","2.4.3.1.6","66.9","","","","1"
"2016","Newfoundland and Labrador","2016A000210","35 to 49 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792826","2.4.3.1.6","87.4","","","","1"
"2017","Newfoundland and Labrador","2016A000210","35 to 49 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792826","2.4.3.1.6","77.2","","","","1"
"2018","Newfoundland and Labrador","2016A000210","35 to 49 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792826","2.4.3.1.6","62.4","","","","1"
"2019","Newfoundland and Labrador","2016A000210","35 to 49 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792826","2.4.3.1.6","75.9","","","","1"
"2020","Newfoundland and Labrador","2016A000210","35 to 49 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792826","2.4.3.1.6","78.3","","","","1"
"2021","Newfoundland and Labrador","2016A000210","35 to 49 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110792826","2.4.3.1.6","66.9","","","","1"
"2015","Newfoundland and Labrador","2016A000210","50 to 64 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793006","2.5.1.1.4","60.5","","","","1"
"2016","Newfoundland and Labrador","2016A000210","50 to 64 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793006","2.5.1.1.4","61.8","","","","1"
"2017","Newfoundland and Labrador","2016A000210","50 to 64 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793006","2.5.1.1.4","56.2","","","","1"
"2018","Newfoundland and Labrador","2016A000210","50 to 64 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793006","2.5.1.1.4","56.9","","","","1"
"2019","Newfoundland and Labrador","2016A000210","50 to 64 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793006","2.5.1.1.4","62.6","","","","1"
"2020","Newfoundland and Labrador","2016A000210","50 to 64 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793006","2.5.1.1.4","63.0","","","","1"
"2021","Newfoundland and Labrador","2016A000210","50 to 64 years","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793006","2.5.1.1.4","61.1","","","","1"
"2015","Newfoundland and Labrador","2016A000210","50 to 64 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110793007","2.5.1.1.5","54.0","","","","1"
"2016","Newfoundland and Labrador","2016A000210","50 to 64 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110793007","2.5.1.1.5","55.7","","","","1"
"2017","Newfoundland and Labrador","2016A000210","50 to 64 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110793007","2.5.1.1.5","50.0","","","","1"
"2018","Newfoundland and Labrador","2016A000210","50 to 64 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110793007","2.5.1.1.5","50.7","","","","1"
"2019","Newfoundland and Labrador","2016A000210","50 to 64 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110793007","2.5.1.1.5","56.6","","","","1"
"2020","Newfoundland and Labrador","2016A000210","50 to 64 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110793007","2.5.1.1.5","54.5","","","","1"
"2021","Newfoundland and Labrador","2016A000210","50 to 64 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110793007","2.5.1.1.5","56.3","","","","1"
"2015","Newfoundland and Labrador","2016A000210","50 to 64 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110793008","2.5.1.1.6","67.1","","","","1"
"2016","Newfoundland and Labrador","2016A000210","50 to 64 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110793008","2.5.1.1.6","67.6","","","","1"
"2017","Newfoundland and Labrador","2016A000210","50 to 64 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110793008","2.5.1.1.6","62.1","","","","1"
"2018","Newfoundland and Labrador","2016A000210","50 to 64 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110793008","2.5.1.1.6","62.8","","","","1"
"2019","Newfoundland and Labrador","2016A000210","50 to 64 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110793008","2.5.1.1.6","68.1","","","","1"
"2020","Newfoundland and Labrador","2016A000210","50 to 64 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110793008","2.5.1.1.6","70.7","","","","1"
"2021","Newfoundland and Labrador","2016A000210","50 to 64 years","Both sexes","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110793008","2.5.1.1.6","65.6","","","","1"
"2015","Newfoundland and Labrador","2016A000210","50 to 64 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793188","2.5.2.1.4","57.8","","","","1"
"2016","Newfoundland and Labrador","2016A000210","50 to 64 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793188","2.5.2.1.4","54.7","","","","1"
"2017","Newfoundland and Labrador","2016A000210","50 to 64 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793188","2.5.2.1.4","54.1","","","","1"
"2018","Newfoundland and Labrador","2016A000210","50 to 64 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793188","2.5.2.1.4","50.4","","","","1"
"2019","Newfoundland and Labrador","2016A000210","50 to 64 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793188","2.5.2.1.4","56.3","","","","1"
"2020","Newfoundland and Labrador","2016A000210","50 to 64 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793188","2.5.2.1.4","58.7","","","","1"
"2021","Newfoundland and Labrador","2016A000210","50 to 64 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793188","2.5.2.1.4","62.7","","","","1"
"2015","Newfoundland and Labrador","2016A000210","50 to 64 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110793189","2.5.2.1.5","48.6","","","","1"
"2016","Newfoundland and Labrador","2016A000210","50 to 64 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110793189","2.5.2.1.5","46.2","","","","1"
"2017","Newfoundland and Labrador","2016A000210","50 to 64 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110793189","2.5.2.1.5","44.1","","","","1"
"2018","Newfoundland and Labrador","2016A000210","50 to 64 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110793189","2.5.2.1.5","40.7","","","","1"
"2019","Newfoundland and Labrador","2016A000210","50 to 64 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110793189","2.5.2.1.5","47.1","","","","1"
"2020","Newfoundland and Labrador","2016A000210","50 to 64 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110793189","2.5.2.1.5","46.8","","","","1"
"2021","Newfoundland and Labrador","2016A000210","50 to 64 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110793189","2.5.2.1.5","55.6","","","","1"
"2015","Newfoundland and Labrador","2016A000210","50 to 64 years","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110793190","2.5.2.1.6","67.0","","","","1"
"2016","Newfoundland and Labrador","2016A000210","50 to 64 years","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110793190","2.5.2.1.6","62.9","","","","1"
"2017","Newfoundland and Labrador","2016A000210","50 to 64 years","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110793190","2.5.2.1.6","63.7","","","","1"
"2018","Newfoundland and Labrador","2016A000210","50 to 64 years","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110793190","2.5.2.1.6","60.1","","","","1"
"2019","Newfoundland and Labrador","2016A000210","50 to 64 years","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110793190","2.5.2.1.6","65.0","","","","1"
"2020","Newfoundland and Labrador","2016A000210","50 to 64 years","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110793190","2.5.2.1.6","69.7","","","","1"
"2021","Newfoundland and Labrador","2016A000210","50 to 64 years","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110793190","2.5.2.1.6","69.3","","","","1"
"2015","Newfoundland and Labrador","2016A000210","50 to 64 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793370","2.5.3.1.4","63.2","","","","1"
"2016","Newfoundland and Labrador","2016A000210","50 to 64 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793370","2.5.3.1.4","68.9","","","","1"
"2017","Newfoundland and Labrador","2016A000210","50 to 64 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793370","2.5.3.1.4","58.2","","","","1"
"2018","Newfoundland and Labrador","2016A000210","50 to 64 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793370","2.5.3.1.4","63.1","","","","1"
"2019","Newfoundland and Labrador","2016A000210","50 to 64 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793370","2.5.3.1.4","68.7","","","","1"
"2020","Newfoundland and Labrador","2016A000210","50 to 64 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793370","2.5.3.1.4","67.0","","","","1"
"2021","Newfoundland and Labrador","2016A000210","50 to 64 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793370","2.5.3.1.4","59.5","","","","1"
"2015","Newfoundland and Labrador","2016A000210","50 to 64 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110793371","2.5.3.1.5","54.8","","","","1"
"2016","Newfoundland and Labrador","2016A000210","50 to 64 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110793371","2.5.3.1.5","60.0","","","","1"
"2017","Newfoundland and Labrador","2016A000210","50 to 64 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110793371","2.5.3.1.5","50.1","","","","1"
"2018","Newfoundland and Labrador","2016A000210","50 to 64 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110793371","2.5.3.1.5","53.9","","","","1"
"2019","Newfoundland and Labrador","2016A000210","50 to 64 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110793371","2.5.3.1.5","60.9","","","","1"
"2020","Newfoundland and Labrador","2016A000210","50 to 64 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110793371","2.5.3.1.5","54.9","","","","1"
"2021","Newfoundland and Labrador","2016A000210","50 to 64 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v110793371","2.5.3.1.5","53.0","","","","1"
"2015","Newfoundland and Labrador","2016A000210","50 to 64 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110793372","2.5.3.1.6","71.5","","","","1"
"2016","Newfoundland and Labrador","2016A000210","50 to 64 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110793372","2.5.3.1.6","76.5","","","","1"
"2017","Newfoundland and Labrador","2016A000210","50 to 64 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110793372","2.5.3.1.6","65.9","","","","1"
"2018","Newfoundland and Labrador","2016A000210","50 to 64 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110793372","2.5.3.1.6","71.5","","","","1"
"2019","Newfoundland and Labrador","2016A000210","50 to 64 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110793372","2.5.3.1.6","75.5","","","","1"
"2020","Newfoundland and Labrador","2016A000210","50 to 64 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110793372","2.5.3.1.6","77.2","","","","1"
"2021","Newfoundland and Labrador","2016A000210","50 to 64 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v110793372","2.5.3.1.6","65.7","","","","1"
"2015","Newfoundland and Labrador","2016A000210","65 years and over","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793552","2.6.1.1.4","49.9","","","","1"
"2016","Newfoundland and Labrador","2016A000210","65 years and over","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793552","2.6.1.1.4","49.1","","","","1"
"2017","Newfoundland and Labrador","2016A000210","65 years and over","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793552","2.6.1.1.4","55.0","","","","1"
"2018","Newfoundland and Labrador","2016A000210","65 years and over","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793552","2.6.1.1.4","54.6","","","","1"
"2019","Newfoundland and Labrador","2016A000210","65 years and over","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793552","2.6.1.1.4","54.8","","","","1"
"2020","Newfoundland and Labrador","2016A000210","65 years and over","Both sexes","Perceived health, very good or excellent","Percent","Percent","239","units","0","v110793552","2.6.1.1.4","53.5","","","","1"
